Compound;Name;Gene Name;AOP;AOP Name;Event;Event Name;Event Class;AC50;logAC50;Intended Target Family
Chlordane; TOX21_AR_BLA_Antagonist_ratio;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;33.7;1.53;nuclear receptor
Chlordane; TOX21_RT_HEK293_GLO_08hr_viability;-;-;-;-;-;-;33.8;1.53;cell cycle
Chlordane; TOX21_HSE_BLA_agonist_viability;-;-;-;-;-;-;34.1;1.53;cell cycle
Chlordane; TOX21_RT_HEK293_GLO_16hr_viability;-;-;-;-;-;-;34.1;1.53;cell cycle
Chlordane; TOX21_RT_HEK293_FLO_24hr_viability;-;-;-;-;-;-;34.2;1.53;cell cycle
Chlordane; TOX21_RT_HEK293_FLO_32hr_viability;-;-;-;-;-;-;34.4;1.54;cell cycle
Chlordane; TOX21_AR_BLA_Antagonist_viability;-;-;-;-;-;-;35.9;1.56;cell cycle
Chlordane; BSK_4H_uPAR_down;PLAUR;-;-;-;-;-;36.1;1.56;cytokine
Chlordane; TOX21_DT40_657;-;-;-;-;-;-;36.1;1.56;cell cycle
Chlordane; BSK_4H_VEGFRII_down;KDR;43;Disruption of VEGFR Signaling Leading to Developmental Defects;305;Inhibition, VegfR2 ;MIE ;36.2;1.56;kinase
Chlordane; ATG_MRE_CIS_up;MTF1;-;-;-;-;-;36.4;1.56;dna binding
Chlordane; NIS_HEK293T_CTG_Cytotoxicity;-;-;-;-;-;-;37.2;1.57;cell cycle
Chlordane; TOX21_PPARd_BLA_antagonist_viability;-;-;-;-;-;-;38.1;1.58;cell cycle
Chlordane; TOX21_RT_HEK293_GLO_24hr_viability;-;-;-;-;-;-;38.2;1.58;cell cycle
Chlordane; TOX21_FXR_BLA_antagonist_viability;-;-;-;-;-;-;39.9;1.60;cell cycle
Chlordane; ATG_AP_1_CIS_up;FOS;-;-;-;-;-;40.2;1.60;dna binding
Chlordane; TOX21_AP1_BLA_Agonist_ratio;FOS|JUN;-;-;-;-;-;40.5;1.61;DNA binding
Chlordane; ATG_Pax6_CIS_up;PAX6;-;-;-;-;-;41.0;1.61;dna binding
Chlordane; TOX21_RT_HEK293_FLO_16hr_viability;-;-;-;-;-;-;41.4;1.62;cell cycle
Chlordane; TOX21_RT_HEPG2_GLO_08hr_ctrl_viability;-;-;-;-;-;-;42.3;1.63;cell cycle
Chlordane; BSK_CASM3C_LDLR_up;LDLR;-;-;-;-;-;43.0;1.63;misc protein
Chlordane; TOX21_FXR_BLA_antagonist_ratio;NR1H4;61;NFE2L2/FXR activation leading to hepatic steatosis;479;Activation, NR1H4;MIE ;44.3;1.65;nuclear receptor
Chlordane; TOX21_GR_BLA_Agonist_ratio;NR3C1;66;Modulation of Adult Leydig Cell Function Subsequent Glucocorticoid Activation in the Fetal Testis;654;Decreased testosterone by the fetal Leydig cells, Activation by other glucocorticoid receptor agonists;MIE ;44.8;1.65;nuclear receptor
Chlordane; OT_AR_ARSRC1_0960;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;46.2;1.66;nuclear receptor
Chlordane; ATG_E_Box_CIS_dn;USF1;-;-;-;-;-;46.4;1.67;dna binding
Chlordane; TOX21_p53_BLA_p2_viability;-;-;-;-;-;-;47.1;1.67;cell cycle
Chlordane; ATG_FXR_TRANS_up;NR1H4;61;NFE2L2/FXR activation leading to hepatic steatosis;479;Activation, NR1H4;MIE ;47.2;1.67;nuclear receptor
Chlordane; OT_AR_ARSRC1_0480;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;48.4;1.68;nuclear receptor
Chlordane; TOX21_RT_HEK293_GLO_32hr_viability;-;-;-;-;-;-;48.5;1.69;cell cycle
Chlordane; TOX21_ESRE_BLA_viability;-;-;-;-;-;-;49.2;1.69;cell cycle
Dichlorodiphenyltrichloroethane ;NVS_ENZ_hPTPN2_Activator;PTPN2;-;-;-;-;-;0.164;-0.786;phosphatase
Dichlorodiphenyltrichloroethane ; OT_ERa_EREGFP_0480;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;3.26;0.514;nuclear receptor
Dichlorodiphenyltrichloroethane ; NHEERL_ZF_144hpf_TERATOSCORE_up;-;-;-;-;-;-;3.80;0.580;malformation
Dichlorodiphenyltrichloroethane ; ATG_PXRE_CIS_up;NR1I2;60;NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis;245;Activation, PXR/SXR ;MIE ;4.31;0.635;nuclear receptor
Dichlorodiphenyltrichloroethane ; BSK_hDFCGF_Proliferation_down;-;-;-;-;-;-;4.36;0.639;cell cycle
Dichlorodiphenyltrichloroethane ; ATG_ERa_TRANS_up;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;4.41;0.644;nuclear receptor
Dichlorodiphenyltrichloroethane ; OT_ERa_EREGFP_0120;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;4.72;0.674;nuclear receptor
Dichlorodiphenyltrichloroethane ; ATG_ERE_CIS_up;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;4.74;0.676;nuclear receptor
Dichlorodiphenyltrichloroethane ; TOX21_ERa_LUC_BG1_Agonist;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;5.21;0.717;nuclear receptor
Dichlorodiphenyltrichloroethane ; TOX21_DT40_657;-;-;-;-;-;-;5.57;0.745;cell cycle
Dichlorodiphenyltrichloroethane ; BSK_CASM3C_Thrombomodulin_up;THBD;-;-;-;-;-;5.58;0.747;gpcr
Dichlorodiphenyltrichloroethane ; BSK_hDFCGF_PAI1_down;SERPINE1;-;-;-;-;-;6.18;0.791;cytokine
Dichlorodiphenyltrichloroethane ; NIS_HEK293T_CTG_Cytotoxicity;-;-;-;-;-;-;7.04;0.848;cell cycle
Dichlorodiphenyltrichloroethane ; TOX21_ERb_BLA_Antagonist_ratio;ESR2;-;-;-;-;-;7.14;0.853;nuclear receptor
Dichlorodiphenyltrichloroethane ; BSK_hDFCGF_VCAM1_down;VCAM1;-;-;-;-;-;7.32;0.864;cell adhesion molecules
Dichlorodiphenyltrichloroethane ; ACEA_AR_agonist_AUC_viability;-;-;-;-;-;-;7.60;0.881;cell cycle
Dichlorodiphenyltrichloroethane ; BSK_hDFCGF_SRB_down;-;-;-;-;-;-;7.61;0.882;cell cycle
Dichlorodiphenyltrichloroethane ; BSK_hDFCGF_CollagenIII_down;COL3A1;-;-;-;-;-;8.14;0.911;cell adhesion molecules
Dichlorodiphenyltrichloroethane ; ATG_PXR_TRANS_up;NR1I2;60;NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis;245;Activation, PXR/SXR ;MIE ;8.20;0.914;nuclear receptor
Dichlorodiphenyltrichloroethane ; BSK_hDFCGF_MCSF_down;CSF1;-;-;-;-;-;8.26;0.917;cytokine
Dichlorodiphenyltrichloroethane ; BSK_KF3CT_MMP9_down;MMP9;-;-;-;-;-;8.46;0.927;protease
Dichlorodiphenyltrichloroethane ; BSK_KF3CT_TIMP2_down;TIMP2;-;-;-;-;-;8.83;0.946;protease inhibitor
Dichlorodiphenyltrichloroethane ; BSK_SAg_Proliferation_down;-;-;-;-;-;-;9.36;0.971;cell cycle
Dichlorodiphenyltrichloroethane ; BSK_KF3CT_MCP1_down;CCL2;-;-;-;-;-;9.53;0.979;cytokine
Dichlorodiphenyltrichloroethane ; BSK_hDFCGF_TIMP1_down;TIMP1;-;-;-;-;-;9.68;0.986;protease inhibitor
Dichlorodiphenyltrichloroethane ; BSK_KF3CT_TGFb1_down;TGFB1;-;-;-;-;-;10.1;1.00;growth factor
Dichlorodiphenyltrichloroethane ; BSK_BE3C_MMP1_up;MMP1;-;-;-;-;-;10.4;1.02;protease
Dichlorodiphenyltrichloroethane ; ATG_RXRb_TRANS_up;RXRB;-;-;-;-;-;10.6;1.02;nuclear receptor
Dichlorodiphenyltrichloroethane ; BSK_hDFCGF_IP10_down;CXCL10;-;-;-;-;-;10.6;1.03;cytokine
Dichlorodiphenyltrichloroethane ; TOX21_CAR_Agonist;NR1I3;107;Constitutive androstane receptor activation leading to hepatocellular adenomas and carcinomas in the mouse and the rat;715;Activation, Constitutive androstane receptor;MIE ;11.0;1.04;nuclear receptor
Dichlorodiphenyltrichloroethane ; BSK_LPS_IL1a_down;IL1A;-;-;-;-;-;11.3;1.05;cytokine
Dichlorodiphenyltrichloroethane ; BSK_hDFCGF_MMP1_down;MMP1;-;-;-;-;-;11.4;1.06;protease
Dichlorodiphenyltrichloroethane ; BSK_3C_uPAR_down;PLAUR;-;-;-;-;-;11.5;1.06;cytokine
Dichlorodiphenyltrichloroethane ; BSK_4H_Pselectin_down;SELP;-;-;-;-;-;11.6;1.06;cell adhesion molecules
Dichlorodiphenyltrichloroethane ; BSK_BE3C_IL1a_up;IL1A;-;-;-;-;-;11.6;1.06;cytokine
Dichlorodiphenyltrichloroethane ; BSK_SAg_IL8_down;CXCL8;-;-;-;-;-;11.6;1.06;cytokine
Dichlorodiphenyltrichloroethane ; BSK_SAg_CD38_down;CD38;-;-;-;-;-;11.6;1.07;cytokine
Dichlorodiphenyltrichloroethane ; BSK_hDFCGF_MIG_down;CXCL9;-;-;-;-;-;11.8;1.07;cytokine
Dichlorodiphenyltrichloroethane ; TOX21_DT40;-;-;-;-;-;-;11.9;1.07;cell cycle
Dichlorodiphenyltrichloroethane ; BSK_SAg_PBMCCytotoxicity_down;-;-;-;-;-;-;12.0;1.08;cell cycle
Dichlorodiphenyltrichloroethane ; BSK_3C_MCP1_down;CCL2;-;-;-;-;-;12.3;1.09;cytokine
Dichlorodiphenyltrichloroethane ; BSK_4H_MCP1_down;CCL2;-;-;-;-;-;12.5;1.10;cytokine
Dichlorodiphenyltrichloroethane ; BSK_KF3CT_IP10_down;CXCL10;-;-;-;-;-;12.8;1.11;cytokine
Dichlorodiphenyltrichloroethane ; BSK_3C_SRB_down;-;-;-;-;-;-;12.8;1.11;cell cycle
Dichlorodiphenyltrichloroethane ; BSK_SAg_CD69_down;CD69;-;-;-;-;-;12.8;1.11;cytokine
Dichlorodiphenyltrichloroethane ; BSK_LPS_VCAM1_down;VCAM1;-;-;-;-;-;12.9;1.11;cell adhesion molecules
Dichlorodiphenyltrichloroethane ; BSK_LPS_SRB_down;-;-;-;-;-;-;13.1;1.12;cell cycle
Dichlorodiphenyltrichloroethane ; ACEA_AR_antagonist_80hr;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;13.5;1.13;nuclear receptor
Dichlorodiphenyltrichloroethane ; BSK_LPS_MCSF_down;CSF1;-;-;-;-;-;13.5;1.13;cytokine
Dichlorodiphenyltrichloroethane ; BSK_3C_Eselectin_down;SELE;-;-;-;-;-;14.0;1.15;cell adhesion molecules
Dichlorodiphenyltrichloroethane ; ATG_IR1_CIS_dn;NR1H4;61;NFE2L2/FXR activation leading to hepatic steatosis;479;Activation, NR1H4;MIE ;14.5;1.16;nuclear receptor
Dichlorodiphenyltrichloroethane ; OT_ER_ERbERb_0480;ESR2;-;-;-;-;-;14.5;1.16;nuclear receptor
Dichlorodiphenyltrichloroethane ; BSK_KF3CT_SRB_down;-;-;-;-;-;-;14.6;1.16;cell cycle
Dichlorodiphenyltrichloroethane ; TOX21_DT40_100;-;-;-;-;-;-;14.6;1.16;cell cycle
Dichlorodiphenyltrichloroethane ; BSK_3C_IL8_down;CXCL8;-;-;-;-;-;14.7;1.17;cytokine
Dichlorodiphenyltrichloroethane ; BSK_SAg_SRB_down;-;-;-;-;-;-;14.7;1.17;cell cycle
Dichlorodiphenyltrichloroethane ; BSK_KF3CT_uPA_down;PLAU;-;-;-;-;-;14.9;1.17;protease
Dichlorodiphenyltrichloroethane ; BSK_SAg_MCP1_down;CCL2;-;-;-;-;-;14.9;1.17;cytokine
Dichlorodiphenyltrichloroethane ; BSK_3C_Proliferation_down;-;-;-;-;-;-;14.9;1.17;cell cycle
Dichlorodiphenyltrichloroethane ; BSK_LPS_Eselectin_down;SELE;-;-;-;-;-;15.0;1.18;cell adhesion molecules
Dichlorodiphenyltrichloroethane ; BSK_CASM3C_MCSF_down;CSF1;-;-;-;-;-;15.3;1.18;cytokine
Dichlorodiphenyltrichloroethane ; TOX21_AR_LUC_MDAKB2_Antagonist;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;15.7;1.20;nuclear receptor
Dichlorodiphenyltrichloroethane ; BSK_4H_SRB_down;-;-;-;-;-;-;15.9;1.20;cell cycle
Dichlorodiphenyltrichloroethane ; BSK_3C_HLADR_down;HLA-DRA;-;-;-;-;-;16.2;1.21;cell adhesion molecules
Dichlorodiphenyltrichloroethane ; BSK_LPS_CD40_down;CD40;-;-;-;-;-;16.4;1.21;cytokine
Dichlorodiphenyltrichloroethane ; BSK_CASM3C_VCAM1_down;VCAM1;-;-;-;-;-;17.5;1.24;cell adhesion molecules
Dichlorodiphenyltrichloroethane ; BSK_SAg_CD40_down;CD40;-;-;-;-;-;17.5;1.24;cytokine
Dichlorodiphenyltrichloroethane ; NIS_RAIU_inhibition;SLC5A5;-;-;-;-;-;17.8;1.25;transporter
Dichlorodiphenyltrichloroethane ; BSK_3C_MIG_down;CXCL9;-;-;-;-;-;19.0;1.28;cytokine
Dichlorodiphenyltrichloroethane ; TOX21_TR_LUC_GH3_Antagonist_viability;-;-;-;-;-;-;19.5;1.29;cell cycle
Dichlorodiphenyltrichloroethane ; TOX21_TR_LUC_GH3_Antagonist;Thrb;-;-;-;-;-;19.6;1.29;nuclear receptor
Dichlorodiphenyltrichloroethane ; BSK_LPS_TNFa_down;TNF;-;-;-;-;-;19.7;1.29;cytokine
Dichlorodiphenyltrichloroethane ; TOX21_MMP_ratio_down;-;-;-;-;-;-;20.0;1.30;cell morphology
Dichlorodiphenyltrichloroethane ; BSK_4H_VEGFRII_down;KDR;43;Disruption of VEGFR Signaling Leading to Developmental Defects;305;Inhibition, VegfR2 ;MIE ;20.1;1.30;kinase
Dichlorodiphenyltrichloroethane ; BSK_SAg_MIG_down;CXCL9;-;-;-;-;-;20.6;1.31;cytokine
Dichlorodiphenyltrichloroethane ; ATG_CAR_TRANS_up;NR1I3;107;Constitutive androstane receptor activation leading to hepatocellular adenomas and carcinomas in the mouse and the rat;715;Activation, Constitutive androstane receptor;MIE ;20.9;1.32;nuclear receptor
Dichlorodiphenyltrichloroethane ; BSK_KF3CT_IL1a_down;IL1A;-;-;-;-;-;21.4;1.33;cytokine
Dichlorodiphenyltrichloroethane ; BSK_LPS_IL8_down;CXCL8;-;-;-;-;-;21.6;1.33;cytokine
Dichlorodiphenyltrichloroethane ; BSK_BE3C_uPA_up;PLAU;-;-;-;-;-;21.6;1.33;protease
Dichlorodiphenyltrichloroethane ; NVS_ENZ_hSIRT1;SIRT1;-;-;-;-;-;21.6;1.33;hydrolase
Dichlorodiphenyltrichloroethane ; BSK_4H_VCAM1_down;VCAM1;-;-;-;-;-;22.1;1.34;cell adhesion molecules
Dichlorodiphenyltrichloroethane ; BSK_CASM3C_uPAR_down;PLAUR;-;-;-;-;-;22.5;1.35;cytokine
Dichlorodiphenyltrichloroethane ; BSK_CASM3C_Proliferation_down;-;-;-;-;-;-;22.5;1.35;cell cycle
Dichlorodiphenyltrichloroethane ; BSK_3C_VCAM1_down;VCAM1;-;-;-;-;-;22.7;1.36;cell adhesion molecules
Dichlorodiphenyltrichloroethane ; BSK_KF3CT_ICAM1_down;ICAM1;-;-;-;-;-;23.0;1.36;cell adhesion molecules
Dichlorodiphenyltrichloroethane ; OT_FXR_FXRSRC1_0480;NR1H4;61;NFE2L2/FXR activation leading to hepatic steatosis;479;Activation, NR1H4;MIE ;23.1;1.36;nuclear receptor
Dichlorodiphenyltrichloroethane ; BSK_hDFCGF_IL8_down;CXCL8;-;-;-;-;-;23.1;1.36;cytokine
Dichlorodiphenyltrichloroethane ; ACEA_ER_AUC_viability;-;-;-;-;-;-;23.4;1.37;cell cycle
Dichlorodiphenyltrichloroethane ; BSK_3C_TissueFactor_down;F3;-;-;-;-;-;23.7;1.37;cytokine
Dichlorodiphenyltrichloroethane ; OT_ER_ERaERb_1440;ESR2;-;-;-;-;-;24.3;1.39;nuclear receptor
Dichlorodiphenyltrichloroethane ; BSK_CASM3C_HLADR_down;HLA-DRA;-;-;-;-;-;24.9;1.40;cell adhesion molecules
Dichlorodiphenyltrichloroethane ; BSK_4H_Eotaxin3_down;CCL26;-;-;-;-;-;25.0;1.40;cytokine
Dichlorodiphenyltrichloroethane ; BSK_LPS_MCP1_down;CCL2;-;-;-;-;-;25.1;1.40;cytokine
Dichlorodiphenyltrichloroethane ; APR_HepG2_MitoMembPot_24h_dn;-;-;-;-;-;-;25.7;1.41;cell morphology
Dichlorodiphenyltrichloroethane ; TOX21_FXR_BLA_agonist_viability;-;-;-;-;-;-;25.8;1.41;cell cycle
Dichlorodiphenyltrichloroethane ; APR_HepG2_MitoMembPot_72h_dn;-;-;-;-;-;-;25.8;1.41;cell morphology
Dichlorodiphenyltrichloroethane ; APR_HepG2_CellCycleArrest_72h_dn;-;-;-;-;-;-;26.0;1.41;cell cycle
Dichlorodiphenyltrichloroethane ; ATG_NRF2_ARE_CIS_up;NFE2L2;-;-;-;-;-;26.9;1.43;dna binding
Dichlorodiphenyltrichloroethane ; BSK_CASM3C_SAA_down;SAA1;-;-;-;-;-;27.4;1.44;cell adhesion molecules
Dichlorodiphenyltrichloroethane ; TOX21_AR_BLA_Antagonist_ratio;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;27.6;1.44;nuclear receptor
Dichlorodiphenyltrichloroethane ;BSK_3C_ICAM1_down;ICAM1;-;-;-;-;-;28.0;1.45;cell adhesion molecules
Dichlorodiphenyltrichloroethane ; TOX21_RT_HEK293_GLO_08hr_viability;-;-;-;-;-;-;28.4;1.45;cell cycle
Dichlorodiphenyltrichloroethane ; TOX21_p53_BLA_p2_viability;-;-;-;-;-;-;28.5;1.45;cell cycle
Dichlorodiphenyltrichloroethane ; TOX21_RXR_BLA_Agonist_viability;-;-;-;-;-;-;28.6;1.46;cell cycle
Dichlorodiphenyltrichloroethane ; TOX21_p53_BLA_p1_viability;-;-;-;-;-;-;28.7;1.46;cell cycle
Dichlorodiphenyltrichloroethane ; TOX21_RT_HEK293_GLO_16hr_viability;-;-;-;-;-;-;28.9;1.46;cell cycle
Dichlorodiphenyltrichloroethane ; ATG_DR4_LXR_CIS_dn;NR1H3;58;NR1I3 (CAR) suppression leading to hepatic steatosis;167;Activation, LXR ;MIE ;28.9;1.46;nuclear receptor
Dichlorodiphenyltrichloroethane ; TOX21_RT_HEK293_GLO_40hr_viability;-;-;-;-;-;-;29.0;1.46;cell cycle
Dichlorodiphenyltrichloroethane ; TOX21_RT_HEK293_GLO_32hr_viability;-;-;-;-;-;-;29.0;1.46;cell cycle
Dichlorodiphenyltrichloroethane ; OT_ER_ERbERb_1440;ESR2;-;-;-;-;-;29.1;1.46;nuclear receptor
Dichlorodiphenyltrichloroethane ; TOX21_p53_BLA_p3_viability;-;-;-;-;-;-;29.1;1.46;cell cycle
Dichlorodiphenyltrichloroethane ; TOX21_RT_HEK293_GLO_24hr_viability;-;-;-;-;-;-;29.1;1.46;cell cycle
Dichlorodiphenyltrichloroethane ; BSK_CASM3C_LDLR_down;LDLR;-;-;-;-;-;29.2;1.47;misc protein
Dieldrin;BSK_CASM3C_SAA_up;SAA1;-;-;-;-;-;4.06e-2;-1.39;cell adhesion molecules
Dieldrin; ATG_DR5_CIS_up;RARB;-;-;-;-;-;0.579;-0.237;nuclear receptor
Dieldrin; ATG_RARa_TRANS_up;RARA;-;-;-;-;-;0.770;-0.113;nuclear receptor
Dieldrin; ATG_ERE_CIS_up;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;;1.00;2.00e-3;nuclear receptor
Dieldrin; ATG_RARg_TRANS_up;RARG;-;-;-;-;-;1.68;0.225;nuclear receptor
Dieldrin; ATG_PXRE_CIS_up;NR1I2;60;NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis;245;Activation, PXR/SXR ;MIE ;1.92;0.282;nuclear receptor
Dieldrin; ATG_PXR_TRANS_up;NR1I2;60;NR1I2 (Pregnane X Receptor, PXR) activation leading to hepatic steatosis;245;Activation, PXR/SXR ;MIE ;2.55;0.407;nuclear receptor
Dieldrin; BSK_LPS_TNFa_up;TNF;-;-;-;-;-;2.74;0.437;cytokine
Dieldrin; NVS_ADME_hCYP2C19;CYP2C19;-;-;-;-;-;3.64;0.561;cyp
Dieldrin; TOX21_TSHR_Agonist_ratio;TSHR;-;-;-;-;-;3.72;0.570;gpcr
Dieldrin; ACEA_ER_80hr;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;4.13;0.616;nuclear receptor
Dieldrin; ATG_ERa_TRANS_up;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;4.71;0.673;nuclear receptor
Dieldrin; NVS_ADME_hCYP2B6;CYP2B6;-;-;-;-;-;4.79;0.680;cyp
Dieldrin; BSK_hDFCGF_Proliferation_down;-;-;-;-;-;-;6.30;0.799;cell cycle
Dieldrin; NHEERL_ZF_144hpf_TERATOSCORE_up;-;-;-;-;-;-;6.74;0.829;malformation
Dieldrin; BSK_SAg_CD40_down;CD40;-;-;-;-;-;9.04;0.956;cytokine
Dieldrin; BSK_SAg_SRB_down;-;-;-;-;-;-;9.38;0.972;cell cycle
Dieldrin; BSK_LPS_CD40_down;CD40;-;-;-;-;-;9.83;0.992;cytokine
Dieldrin; BSK_3C_Vis_down;-;-;-;-;-;-;10.4;1.02;cell morphology
Dieldrin; BSK_LPS_VCAM1_down;VCAM1;-;-;-;-;-;10.6;1.03;cell adhesion molecules
Dieldrin; BSK_3C_VCAM1_down;VCAM1;-;-;-;-;-;10.9;1.04;cell adhesion molecules
Dieldrin; BSK_4H_MCP1_down;CCL2;-;-;-;-;-;11.0;1.04;cytokine
Dieldrin; BSK_3C_Proliferation_down;-;-;-;-;-;-;11.2;1.05;cell cycle
Dieldrin; BSK_4H_VCAM1_down;VCAM1;-;-;-;-;-;11.4;1.06;cell adhesion molecules
Dieldrin; TOX21_ERb_BLA_Antagonist_ratio;ESR2;-;-;-;-;-;12.2;1.08;nuclear receptor
Dieldrin; BSK_SAg_Proliferation_down;-;-;-;-;-;-;12.5;1.10;cell cycle
Dieldrin; BSK_3C_SRB_down;-;-;-;-;-;-;12.6;1.10;cell cycle
Dieldrin; BSK_SAg_CD38_down;CD38;-;-;-;-;-;13.7;1.14;cytokine
Dieldrin; OT_ER_ERbERb_0480;ESR2;-;-;-;-;-;15.4;1.19;nuclear receptor
Dieldrin; ATG_VDRE_CIS_up;VDR;-;-;-;-;-;15.6;1.19;nuclear receptor
Dieldrin; BSK_3C_HLADR_down;HLA-DRA;-;-;-;-;-;15.8;1.20;cell adhesion molecules
Dieldrin; OT_FXR_FXRSRC1_1440;NR1H4;61;NFE2L2/FXR activation leading to hepatic steatosis;479;Activation, NR1H4;MIE ;16.4;1.21;nuclear receptor
Dieldrin; BSK_4H_Pselectin_down;SELP;-;;-;;;16.5;1.22;cell adhesion molecules
Dieldrin; BSK_CASM3C_Proliferation_down;-;-;;-;;;17.7;1.25;cell cycle
Dieldrin; ATG_DR4_LXR_CIS_dn;NR1H3;58;NR1I3 (CAR) suppression leading to hepatic steatosis;167;Activation, LXR ;MIE ;18.7;1.27;nuclear receptor
Dieldrin; NIS_HEK293T_CTG_Cytotoxicity;-;-;;-;;;20.5;1.31;cell cycle
Dieldrin; TOX21_AP1_BLA_Agonist_ratio;FOS|JUN;-;;-;;;21.0;1.32;DNA binding
Dieldrin; ATG_RXRb_TRANS_up;RXRB;-;;-;;;22.5;1.35;nuclear receptor
Dieldrin; OT_ERa_EREGFP_0120;ESR1;200;Estrogen receptor activation leading to breast cancer;1181;Activation, Estrogen receptor ;MIE ;26.9;1.43;nuclear receptor
Dieldrin; APR_HepG2_CellLoss_24h_dn;-;-;;-;;;27.4;1.44;cell cycle
Dieldrin; NVS_GPCR_rSST;Sstr1;-;;-;;;27.7;1.44;gpcr
Dieldrin; NVS_ENZ_hElastase;ELANE;-;;-;;;28.3;1.45;protease
Dieldrin; APR_HepG2_CellLoss_72h_dn;-;-;;-;;;29.8;1.47;cell cycle
Dieldrin; APR_HepG2_MitoticArrest_72h_up;-;-;;-;;;31.1;1.49;cell cycle
Dieldrin; NIS_RAIU_inhibition;SLC5A5;-;;-;;;31.9;1.50;transporter
Dieldrin; BSK_hDFCGF_IP10_down;CXCL10;-;;-;;;32.8;1.52;cytokine
Dieldrin; TOX21_MMP_ratio_down;-;-;;-;;;33.7;1.53;cell morphology
Dieldrin; TOX21_AR_BLA_Antagonist_ratio;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;34.4;1.54;nuclear receptor
Dieldrin; TOX21_DT40_100;-;-;;-;;;34.9;1.54;cell cycle
Dieldrin; TOX21_DT40;-;-;;-;;;35.0;1.54;cell cycle
Dieldrin; ATG_IR1_CIS_dn;NR1H4;61;NFE2L2/FXR activation leading to hepatic steatosis;479;Activation, NR1H4;MIE ;35.2;1.55;nuclear receptor
Dieldrin; OT_AR_ARSRC1_0480;AR;187;Anticoagulant rodenticide inhibition of vitamin K epoxide reductase resulting coagulopathy and hemorrhage;1134;Irreversible inhibition of hepatic VKOR by binding of AR at tyrosine 139, Failure to cycle vitamin K epoxide to vitamin K to form vitamin K hydroquinone;MIE ;35.5;1.55;nuclear receptor
Dieldrin; TOX21_AP1_BLA_Agonist_viability;-;-;;-;;;35.9;1.55;cell cycle
Dieldrin; APR_HepG2_CellCycleArrest_72h_dn;-;-;;-;;;37.1;1.57;cell cycle
Dieldrin; TOX21_RT_HEK293_FLO_32hr_viability;-;-;;-;;;37.6;1.58;cell cycle
Dieldrin; TOX21_RT_HEK293_GLO_24hr_viability;-;-;;-;;;37.9;1.58;cell cycle
Dieldrin; TOX21_VDR_BLA_Agonist_viability;-;-;;-;;;38.0;1.58;cell cycle
Dieldrin; BSK_3C_MCP1_down;CCL2;-;;-;;;38.2;1.58;cytokine
Dieldrin; TOX21_RXR_BLA_Agonist_viability;-;-;;-;;;38.2;1.58;cell cycle
